ChildStudyID,BlockID,Study,ResearchID,Block_Age,Block_Basename,Block_Version,Block_Dialect,StimulusSet
6,2056,TimePoint1,605L,31,MP_Block1_605L31MS1,Early attention getter,SAE,TP1
6,2057,TimePoint1,605L,31,MP_Block2_605L31MS1,Early attention getter,SAE,TP1
9,2061,TimePoint1,608L,39,MP_Block1_608L39FS2,Early attention getter,SAE,TP1
9,2062,TimePoint1,608L,39,MP_Block2_608L39FS2,Early attention getter,SAE,TP1
66,2155,TimePoint1,665L,40,MP_Block1_665L40FS2,Standard,SAE,TP1
66,2156,TimePoint1,665L,40,MP_Block2_665L40FS2,Standard,SAE,TP1
80,2181,TimePoint1,679L,33,MP_Block1_679L34MS2,Standard,SAE,TP1
80,2182,TimePoint1,679L,33,MP_Block2_679L34MS2,Standard,SAE,TP1
141,2226,TimePoint1,014L,39,MP_Block1_014L39MS2,Standard,SAE,TP1
141,2227,TimePoint1,014L,39,MP_Block2_014L39MS2,Standard,SAE,TP1
157,2257,TimePoint1,030L,38,MP_Block1_030L38FS2,Standard,SAE,TP1
157,2258,TimePoint1,030L,38,MP_Block2_030L38FS2,Standard,SAE,TP1
177,2295,TimePoint1,050L,36,MP_Block1_050L36FS2,Standard,SAE,TP1
177,2296,TimePoint1,050L,36,MP_Block2_050L36FS2,Standard,SAE,TP1
179,2299,TimePoint1,052L,32,MP_Block1_052L32MS1,Standard,SAE,TP1
179,2300,TimePoint1,052L,32,MP_Block2_052L32MS1,Standard,SAE,TP1
180,2301,TimePoint1,053L,35,MP_Block1_053L35MS2,Standard,SAE,TP1
180,2302,TimePoint1,053L,35,MP_Block2_053L35MS2,Standard,SAE,TP1
185,2309,TimePoint1,058L,36,MP_Block1_058L36FS2,Standard,SAE,TP1
185,2310,TimePoint1,058L,36,MP_Block2_058L36FS2,Standard,SAE,TP1
191,2317,TimePoint1,064L,36,MP_Block1_064L36FS2,Standard,SAE,TP1
191,2318,TimePoint1,064L,36,MP_Block2_064L36FS2,Standard,SAE,TP1
205,2342,TimePoint1,078L,36,MP_Block1_078L36FS2,Standard,SAE,TP1
205,2343,TimePoint1,078L,36,MP_Block2_078L36FS2,Standard,SAE,TP1
226,2382,TimePoint1,099L,38,MP_Block1_099L38FS2,Standard,SAE,TP1
226,2383,TimePoint1,099L,38,MP_Block2_099L38FS2,Standard,SAE,TP1
266,2454,TimePoint2,605L,43,MP_Block1_605L43MS3,Standard,SAE,TP2
269,2459,TimePoint2,608L,55,MP_Block1_608L52FS4,Standard,SAE,TP2
269,2460,TimePoint2,608L,55,MP_Block2_608L52FS4,Standard,SAE,TP2
287,2491,TimePoint2,630L,46,MP_Block1_630L46FS4,Standard,SAE,TP2
287,2492,TimePoint2,630L,46,MP_Block2_630L46FS4,Standard,SAE,TP2
294,2504,TimePoint2,640L,48,MP_Block1_640L48FS4,Standard,SAE,TP2
294,2505,TimePoint2,640L,48,MP_Block2_640L48FS4,Standard,SAE,TP2
308,2531,TimePoint2,665L,52,MP_Block1_665L52FS4,Standard,SAE,TP2
308,2532,TimePoint2,665L,52,MP_Block2_665L52FS4,Standard,SAE,TP2
319,2551,TimePoint2,679L,46,MP_Block1_679L46MS4,Standard,SAE,TP2
319,2552,TimePoint2,679L,46,MP_Block2_679L46MS4,Standard,SAE,TP2
328,2569,TimePoint2,002L,51,MP_Block1_002L51FS4,Standard,SAE,TP2
328,2570,TimePoint2,002L,51,MP_Block2_002L51FS4,Standard,SAE,TP2
335,2583,TimePoint2,010L,44,MP_Block1_010L44MS3,Standard,SAE,TP2
335,2584,TimePoint2,010L,44,MP_Block2_010L44MS3,Standard,SAE,TP2
338,2589,TimePoint2,014L,50,MP_Block1_014L50MS4,Standard,SAE,TP2
338,2590,TimePoint2,014L,50,MP_Block2_014L50MS4,Standard,SAE,TP2
