BlockID,TrialID,Study,ResearchID,Block_Basename,TrialNo,Condition,WordGroup,TargetWord,Bias_ImageAOI,DistractorImage,FamiliarImage,UnfamiliarImage,ImageL,ImageR,TargetImage
2056,65824,TimePoint1,605L,MP_Block1_605L31MS1,1,real,girl,girl,Target,ImageL,girl1,marmoset1,marmoset1,girl1,ImageR
2056,65825,TimePoint1,605L,MP_Block1_605L31MS1,2,real,shoes,shoes,Target,ImageR,shoes2,flasks2,shoes2,flasks2,ImageL
2056,65826,TimePoint1,605L,MP_Block1_605L31MS1,3,MP,duck,guk,Target,ImageL,duck2,bull2,bull2,duck2,ImageR
2056,65827,TimePoint1,605L,MP_Block1_605L31MS1,4,nonsense,cake,pumA,NA,ImageR,book1,churn1,book1,churn1,ImageL
2056,65828,TimePoint1,605L,MP_Block1_605L31MS1,5,real,shoes,shoes,Distractor,ImageL,shoes2,flasks2,flasks2,shoes2,ImageR
2056,65829,TimePoint1,605L,MP_Block1_605L31MS1,6,MP,cake,gek,Target,ImageL,cake2,melon2,melon2,cake2,ImageR
2056,65830,TimePoint1,605L,MP_Block1_605L31MS1,7,nonsense,duck,San,Distractor,ImageR,cup1,reed1,cup1,reed1,ImageL
2056,65831,TimePoint1,605L,MP_Block1_605L31MS1,8,MP,soup,Sup,Distractor,ImageL,soup1,steamer1,steamer1,soup1,ImageR
2056,65832,TimePoint1,605L,MP_Block1_605L31MS1,9,MP,cake,gek,Distractor,ImageL,cake1,melon1,melon1,cake1,ImageR
2056,65833,TimePoint1,605L,MP_Block1_605L31MS1,10,real,girl,girl,Distractor,ImageR,girl2,marmoset2,girl2,marmoset2,ImageL
2056,65834,TimePoint1,605L,MP_Block1_605L31MS1,11,nonsense,cake,pumA,Target,ImageR,book2,churn2,book2,churn2,ImageL
2056,65835,TimePoint1,605L,MP_Block1_605L31MS1,12,nonsense,duck,San,Target,ImageL,cup2,reed2,reed2,cup2,ImageR
2056,65836,TimePoint1,605L,MP_Block1_605L31MS1,13,MP,soup,Sup,Target,ImageR,soup2,steamer2,soup2,steamer2,ImageL
2056,65837,TimePoint1,605L,MP_Block1_605L31MS1,14,nonsense,soup,Cim,NA,ImageR,bed2,mixer2,bed2,mixer2,ImageL
2056,65838,TimePoint1,605L,MP_Block1_605L31MS1,15,MP,duck,guk,Distractor,ImageL,duck1,bull1,bull1,duck1,ImageR
2056,65839,TimePoint1,605L,MP_Block1_605L31MS1,16,nonsense,cake,pumA,NA,ImageL,book1,churn1,churn1,book1,ImageR
2056,65840,TimePoint1,605L,MP_Block1_605L31MS1,17,real,shoes,shoes,NA,ImageR,shoes1,flasks1,shoes1,flasks1,ImageL
2056,65841,TimePoint1,605L,MP_Block1_605L31MS1,18,MP,soup,Sup,Target,ImageR,soup1,steamer1,soup1,steamer1,ImageL
2056,65842,TimePoint1,605L,MP_Block1_605L31MS1,19,real,dog,dog,NA,ImageR,dog2,wombat2,dog2,wombat2,ImageL
2056,65843,TimePoint1,605L,MP_Block1_605L31MS1,20,real,shoes,shoes,Target,ImageL,shoes1,flasks1,flasks1,shoes1,ImageR
2056,65844,TimePoint1,605L,MP_Block1_605L31MS1,21,nonsense,soup,Cim,Target,ImageR,bed1,mixer1,bed1,mixer1,ImageL
2056,65845,TimePoint1,605L,MP_Block1_605L31MS1,22,nonsense,duck,San,NA,ImageL,cup1,reed1,reed1,cup1,ImageR
2056,65846,TimePoint1,605L,MP_Block1_605L31MS1,23,real,dog,dog,Target,ImageR,dog1,wombat1,dog1,wombat1,ImageL
2056,65847,TimePoint1,605L,MP_Block1_605L31MS1,24,nonsense,duck,San,Target,ImageR,cup2,reed2,cup2,reed2,ImageL
2056,65848,TimePoint1,605L,MP_Block1_605L31MS1,25,real,dog,dog,Target,ImageL,dog2,wombat2,wombat2,dog2,ImageR
2056,65849,TimePoint1,605L,MP_Block1_605L31MS1,26,MP,duck,guk,NA,ImageR,duck1,bull1,duck1,bull1,ImageL
2056,65850,TimePoint1,605L,MP_Block1_605L31MS1,27,MP,soup,Sup,NA,ImageL,soup2,steamer2,steamer2,soup2,ImageR
2056,65851,TimePoint1,605L,MP_Block1_605L31MS1,28,real,dog,dog,NA,ImageL,dog1,wombat1,wombat1,dog1,ImageR
2056,65852,TimePoint1,605L,MP_Block1_605L31MS1,29,MP,cake,gek,NA,ImageR,cake1,melon1,cake1,melon1,ImageL
2056,65853,TimePoint1,605L,MP_Block1_605L31MS1,30,nonsense,cake,pumA,Distractor,ImageL,book2,churn2,churn2,book2,ImageR
2056,65854,TimePoint1,605L,MP_Block1_605L31MS1,31,MP,duck,guk,Target,ImageR,duck2,bull2,duck2,bull2,ImageL
2056,65855,TimePoint1,605L,MP_Block1_605L31MS1,32,real,girl,girl,Target,ImageR,girl1,marmoset1,girl1,marmoset1,ImageL
2056,65856,TimePoint1,605L,MP_Block1_605L31MS1,33,nonsense,soup,Cim,NA,ImageL,bed2,mixer2,mixer2,bed2,ImageR
2056,65857,TimePoint1,605L,MP_Block1_605L31MS1,34,MP,cake,gek,Distractor,ImageR,cake2,melon2,cake2,melon2,ImageL
2056,65858,TimePoint1,605L,MP_Block1_605L31MS1,35,real,girl,girl,Distractor,ImageL,girl2,marmoset2,marmoset2,girl2,ImageR
2056,65859,TimePoint1,605L,MP_Block1_605L31MS1,36,nonsense,soup,Cim,Distractor,ImageL,bed1,mixer1,mixer1,bed1,ImageR
2057,65860,TimePoint1,605L,MP_Block2_605L31MS1,1,real,soup,soup,Target,ImageL,soup2,steamer2,steamer2,soup2,ImageR
2057,65861,TimePoint1,605L,MP_Block2_605L31MS1,2,real,duck,duck,Distractor,ImageR,duck2,bull2,duck2,bull2,ImageL
2057,65862,TimePoint1,605L,MP_Block2_605L31MS1,3,nonsense,girl,neJ,NA,ImageR,car2,holder2,car2,holder2,ImageL
2057,65863,TimePoint1,605L,MP_Block2_605L31MS1,4,MP,dog,tag,NA,ImageL,dog2,wombat2,wombat2,dog2,ImageR
2057,65864,TimePoint1,605L,MP_Block2_605L31MS1,5,real,soup,soup,Target,ImageL,soup1,steamer1,steamer1,soup1,ImageR
2057,65865,TimePoint1,605L,MP_Block2_605L31MS1,6,nonsense,shoes,giv,NA,ImageR,sock1,trolley1,sock1,trolley1,ImageL
2057,65866,TimePoint1,605L,MP_Block2_605L31MS1,7,MP,girl,dRl,Target,ImageL,girl2,marmoset2,marmoset2,girl2,ImageR
2057,65867,TimePoint1,605L,MP_Block2_605L31MS1,8,real,duck,duck,Target,ImageR,duck1,bull1,duck1,bull1,ImageL
